Iteration	Posterior	Likelihood	Prior	tree_length	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	shape[0]	shape[1]	shape[2]	shape[3]
820	-9561.63	-9578.27	16.6435	1.22795	0.0538346	0.041671	0.0286839	0.00875919	0.832004	0.00664786	0.00776389	0.0332539	0.0817573	0.0462711	0.00502234	0.0583665	0.00207758	0.0137508	0.00808863	0.0904617	6.4572	11.3282	23.8962
830	-9560.4	-9576.29	15.8893	1.13977	0.0400414	0.0311406	0.0185916	0.0129339	0.782257	0.0065158	0.0118147	0.0487019	0.0554818	0.0452395	0.00675735	0.0549315	0.00208603	0.0137684	0.00950785	0.11141	8.54808	23.3928	42.4407
840	-9557.86	-9575.18	17.3201	1.25549	0.0519728	0.0429097	0.020934	0.00856617	0.846043	0.014247	0.00917718	0.0438031	0.0779009	0.040893	0.00343604	0.0546405	0.00618097	0.0205943	0.0141888	0.0973812	2.04924	3.98471	16.6019
850	-9558.85	-9576.99	18.1384	1.19224	0.0513504	0.0514371	0.0233163	0.0112364	0.811404	0.00849552	0.0114562	0.0363757	0.0596206	0.0377253	0.00842339	0.0348384	0.00842569	0.0293966	0.00873718	0.100503	5.51515	6.33742	7.0635
860	-9560.96	-9578.43	17.4658	1.23119	0.0457714	0.0389924	0.0214548	0.0147201	0.843192	0.0130615	0.0116329	0.0411392	0.0674424	0.0403194	0.00755676	0.0316211	0.0274979	0.0125035	0.014282	0.0886811	6.48316	4.36694	13.7391
870	-9564.71	-9578.31	13.5952	1.16239	0.0386957	0.0460321	0.0239368	0.0114053	0.796449	0.00784576	0.00914798	0.0344966	0.0713541	0.0421767	0.00423976	0.0377773	0.0130184	0.0197283	0.00608369	0.0864164	4.35003	12.8647	98.5498
880	-9567.98	-9585.36	17.3752	1.04812	0.0390758	0.0363179	0.0215685	0.0122333	0.699899	0.00820879	0.00863797	0.0402478	0.0721046	0.0334584	0.00871323	0.0307785	0.0137848	0.016119	0.00696931	0.0945236	10.3614	36.726	15.9231
890	-9563.69	-9580.33	16.6425	1.20167	0.0445094	0.0409038	0.0306155	0.00747507	0.825188	0.00793566	0.0120256	0.0326821	0.0805755	0.0345554	0.00583739	0.0318852	0.0218027	0.0162326	0.00944061	0.102564	9.71422	7.75331	29.4779
900	-9566.57	-9581.05	14.4841	1.07104	0.0497088	0.05163	0.0270692	0.013494	0.678931	0.00877372	0.00778984	0.030891	0.0676395	0.0479536	0.0103468	0.0228753	0.0238424	0.0227541	0.00734419	0.11293	48.838	41.5274	25.8625
910	-9561.54	-9578.2	16.6611	1.21228	0.0468397	0.0456316	0.0173031	0.0158402	0.806293	0.00820169	0.0109537	0.0353414	0.073509	0.0452331	0.0129004	0.0199586	0.0440767	0.0184604	0.0117338	0.123451	6.31607	34.8736	3.24241
