Iteration	Posterior	Likelihood	Prior	sf[0]	sf[1]	sf[2]	sf[3]	er[0]	er[1]	er[2]	er[3]	er[4]	er[5]	gamma_rates[0]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	shape	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	tree_length
570	-9887.5	-9899.62	12.1184	0.288834	0.185725	0.235668	0.289773	0.113753	0.262079	0.0566904	0.068397	0.422443	0.0766375	0.0702589	0.354708	0.917847	2.65719	0.68158	0.0606567	0.0175437	0.47082	0.0430993	0.00850574	0.0365893	0.00856154	0.0128013	0.0341134	0.0319358	0.00410123	0.01612	0.0363832	0.0119903	0.0176306	0.810853
580	-9882.89	-9894.39	11.5034	0.289641	0.191556	0.231778	0.287025	0.101613	0.260127	0.0501865	0.0529973	0.459214	0.075863	0.0766909	0.369003	0.929131	2.62517	0.711709	0.0518941	0.0261009	0.519727	0.0384752	0.0125399	0.0365893	0.0107681	0.0106689	0.0473393	0.0345447	0.0078846	0.0139103	0.036584	0.013304	0.0118731	0.872203
590	-9886.62	-9897.93	11.3122	0.282825	0.192537	0.232965	0.291672	0.10421	0.274282	0.0619029	0.0473374	0.434466	0.0778021	0.0610036	0.332686	0.89948	2.70683	0.637883	0.062293	0.0293474	0.511637	0.0388564	0.0101706	0.0345368	0.0132846	0.0123228	0.0496206	0.0402738	0.00923177	0.0209049	0.0348328	0.0188776	0.00550451	0.891695
600	-9882.22	-9893.49	11.272	0.281824	0.191856	0.235262	0.291059	0.0972548	0.29964	0.0577713	0.0533374	0.405468	0.0865287	0.0528151	0.311481	0.880592	2.75511	0.598579	0.0587885	0.0176395	0.555288	0.0394266	0.0117384	0.0376397	0.00944991	0.00939264	0.0421841	0.0379156	0.00580075	0.0192107	0.0324948	0.0114344	0.00750845	0.895912
610	-9886.32	-9898.6	12.2799	0.28659	0.188945	0.232571	0.291895	0.139019	0.292615	0.0564168	0.0520868	0.375363	0.0845	0.0787109	0.373342	0.932461	2.61549	0.721152	0.0532069	0.0223817	0.454632	0.0348992	0.00828352	0.0385591	0.00944991	0.00794236	0.0413219	0.0432029	0.0056657	0.0134373	0.0265479	0.0257163	0.00925797	0.794504
620	-9894.73	-9906.6	11.874	0.278629	0.191232	0.224241	0.305898	0.139455	0.286885	0.0536418	0.0827757	0.356899	0.0803436	0.0789723	0.373898	0.932885	2.61424	0.722374	0.0624925	0.0285856	0.490047	0.0409445	0.00732714	0.0343771	0.00606122	0.0101779	0.0417661	0.037609	0.0131046	0.0101731	0.0233881	0.0219614	0.00707883	0.835094
630	-9889.49	-9901.34	11.8446	0.293283	0.183236	0.221206	0.302276	0.129454	0.266311	0.0492698	0.0462204	0.434164	0.0745817	0.0677265	0.348864	0.913091	2.67032	0.669676	0.0550257	0.0225029	0.490047	0.0401205	0.013527	0.0440405	0.00998325	0.0108288	0.0403933	0.0395869	0.0120235	0.00920605	0.0241373	0.0146813	0.0121874	0.838292
640	-9886.54	-9898.58	12.04	0.275197	0.182307	0.248935	0.293561	0.124157	0.255413	0.06984	0.0443291	0.434731	0.0715299	0.0986443	0.412914	0.960898	2.52754	0.814519	0.0657034	0.0207931	0.470291	0.0383216	0.00955796	0.0428113	0.00727071	0.0116416	0.0407855	0.0382607	0.00478772	0.0154002	0.0308697	0.0120561	0.00948352	0.818034
650	-9890.7	-9902.76	12.0562	0.284109	0.200037	0.228881	0.286973	0.114227	0.245111	0.0538503	0.0721799	0.443082	0.0715494	0.084681	0.385782	0.941772	2.58777	0.749049	0.0612999	0.0151841	0.468739	0.0437352	0.0126951	0.030862	0.005987	0.0116416	0.0450616	0.0391811	0.00825762	0.0169782	0.024952	0.0162119	0.0159501	0.816736
660	-9888.16	-9898.75	10.5837	0.27379	0.194254	0.240348	0.291608	0.110457	0.242628	0.0394314	0.0562403	0.474603	0.0766394	0.033982	0.253998	0.822581	2.88944	0.503198	0.0578664	0.0250612	0.598032	0.0442275	0.0103013	0.0455341	0.0100809	0.00777312	0.0446305	0.0395177	0.00702461	0.0173751	0.0295483	0.0187483	0.00950137	0.965223
