Iteration	Posterior	Likelihood	Prior	tree_length	shape[0]	shape[1]	br_lens[0]	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]
660	-9639.26	-9650.9	11.641	1.19202	0.0934987	5.57465	0.0637133	0.0409686	0.0343195	0.0112822	0.00951555	0.828893	0.0245154	0.0508203	0.0117656	0.0156598	0.0359884	0.0142059	0.00740862	0.0368103	0.00614967
670	-9642.97	-9653.78	10.8071	1.28949	0.0977722	2.75524	0.0611923	0.0408329	0.0354223	0.0084343	0.0101438	0.90555	0.0286842	0.0386745	0.0140843	0.0285403	0.040808	0.0210858	0.00897963	0.0376024	0.00945161
680	-9639.91	-9652.05	12.1305	1.15322	0.103052	3.53329	0.0636696	0.0321758	0.0370188	0.0100028	0.00981776	0.782111	0.0222593	0.0554055	0.0122887	0.0191705	0.0240442	0.0210858	0.0116984	0.0438524	0.00862153
690	-9641.57	-9653.83	12.2609	1.10134	0.102667	11.3026	0.0614136	0.0350682	0.0370188	0.00615874	0.0111549	0.737082	0.0185388	0.0582976	0.0135559	0.0191705	0.0232457	0.0210858	0.0104536	0.0421811	0.00691304
700	-9635.02	-9646.07	11.0511	1.25689	0.107005	4.38471	0.069424	0.0306036	0.0414841	0.0116231	0.0122673	0.882437	0.022484	0.048616	0.0106068	0.021707	0.0346957	0.0127673	0.0125298	0.0373144	0.00833117
710	-9643.99	-9655.29	11.2999	1.21049	0.106289	8.68853	0.0782719	0.0414416	0.0425399	0.00903701	0.0121594	0.784774	0.02986	0.0456637	0.0150581	0.0213696	0.0545473	0.00517646	0.0122094	0.0501724	0.00821203
720	-9638.3	-9650.08	11.7848	1.17189	0.0888925	6.72713	0.0600129	0.0414416	0.0422898	0.00790638	0.00959933	0.809359	0.0195315	0.0537222	0.0111975	0.0125989	0.0298589	0.0220711	0.00894513	0.0348576	0.00850144
730	-9641.11	-9652.81	11.7003	1.17403	0.113641	7.96498	0.0735301	0.0378313	0.0523592	0.00806542	0.0177763	0.772279	0.0243376	0.0398274	0.0107309	0.0249209	0.048885	0.00236728	0.0104996	0.0437809	0.00684074
740	-9651.22	-9663.47	12.2476	1.14394	0.105013	3.04575	0.0693514	0.0479901	0.0434777	0.00962606	0.00924484	0.74474	0.0280749	0.0559164	0.00641934	0.0218524	0.0586846	0.00471443	0.00719865	0.0315692	0.00507879
750	-9639.27	-9650.32	11.0523	1.24951	0.0679203	5.87508	0.067064	0.031079	0.0469308	0.00910024	0.00704252	0.864609	0.0251755	0.0507171	0.0138634	0.0174294	0.0436957	0.00941152	0.0182483	0.0380198	0.00712781
760	-9635.35	-9646.3	10.9456	1.27353	0.0891839	3.18387	0.0614759	0.0403483	0.0413679	0.00776137	0.00916171	0.90727	0.0235237	0.0392144	0.00908508	0.0122952	0.0436957	0.0159648	0.0100568	0.0437582	0.00854941
770	-9639.89	-9651.89	11.9941	1.13817	0.101885	9.27445	0.0618275	0.0441682	0.0415734	0.00827495	0.0170728	0.758528	0.0181111	0.0487235	0.0112581	0.021265	0.0372345	0.0140413	0.0144032	0.0339894	0.00769634
780	-9651.14	-9662.7	11.5635	1.168	0.121416	11.9	0.0859879	0.0507751	0.044786	0.011855	0.00755846	0.751881	0.024562	0.0536345	0.0155598	0.023027	0.0294054	0.0179944	0.0181324	0.0273827	0.0054606
790	-9635.42	-9647.25	11.835	1.17812	0.117353	4.44972	0.0616261	0.0277978	0.044724	0.00943647	0.0132458	0.813162	0.024562	0.0507503	0.00821109	0.0219774	0.0391747	0.010848	0.0117451	0.0352547	0.00560145
800	-9650.83	-9662.57	11.7441	1.00956	0.116615	39.9817	0.072278	0.0246879	0.0382582	0.0146459	0.00854525	0.642856	0.0171073	0.0447484	0.0105872	0.0175114	0.0502074	0.00684845	0.0117451	0.0383793	0.0111533
810	-9639.54	-9651.17	11.63	1.20466	0.115708	3.24253	0.0794934	0.0390633	0.03824	0.00957213	0.0106268	0.793497	0.0283442	0.057924	0.0120189	0.0125799	0.0489952	0.0107411	0.00740307	0.0467743	0.00938995
820	-9643.6	-9655.96	12.3638	1.0407	0.116493	21.3586	0.0620589	0.035413	0.0433157	0.00597444	0.0135971	0.675161	0.0256878	0.0504878	0.00985282	0.0164931	0.0238854	0.0252948	0.0113307	0.0359259	0.00622231
830	-9643.81	-9652.12	8.31656	1.08626	0.106233	93.2026	0.0714969	0.0395995	0.0377362	0.0100907	0.0126627	0.709221	0.0226258	0.0562346	0.010748	0.0122628	0.0248967	0.0183487	0.0108598	0.0410395	0.00843287
840	-9637.06	-9649.04	11.9788	1.13113	0.0996857	10.9901	0.0677946	0.0366219	0.0408118	0.00970994	0.0137481	0.774648	0.0203431	0.0430122	0.00951598	0.014299	0.0297916	0.0164377	0.0108598	0.037809	0.00572657
850	-9634.89	-9646.38	11.4846	1.18662	0.0905591	9.78443	0.0711961	0.0342313	0.0396918	0.0087296	0.0155768	0.817337	0.0214475	0.0468956	0.0109317	0.0169272	0.0406506	0.0107104	0.0108598	0.0371555	0.00428325
860	-9638.2	-9650.48	12.2827	1.10789	0.10914	9.55024	0.0668078	0.0412168	0.0388689	0.0102242	0.0132111	0.743531	0.0178507	0.0492878	0.0102457	0.0144697	0.0320793	0.010939	0.00889231	0.0445343	0.00573088
870	-9644.32	-9656.38	12.0547	1.15577	0.0921064	4.55104	0.0685121	0.0435934	0.0332385	0.00667974	0.0124007	0.79482	0.0178507	0.0485033	0.0084527	0.0217852	0.0319802	0.0101494	0.00469706	0.0421816	0.0109257
880	-9645.59	-9653.86	8.27012	1.14886	0.116863	81.6002	0.0744745	0.0333233	0.0366258	0.0103831	0.0127058	0.758634	0.0253547	0.0480026	0.0088949	0.0181787	0.03612	0.0269944	0.0160934	0.0389194	0.00415457
890	-9640.2	-9651.69	11.4952	1.2142	0.0895537	4.05903	0.0721871	0.0244622	0.0371683	0.00651724	0.0118886	0.844246	0.0248012	0.0517471	0.0107144	0.0208213	0.042187	0.0150435	0.0160087	0.0322495	0.00415457
900	-9643.49	-9655.24	11.7597	1.16671	0.0998433	8.25502	0.0705844	0.0309255	0.0481081	0.0108756	0.0142666	0.772218	0.0198785	0.045433	0.012087	0.0213725	0.0340965	0.0239604	0.0162409	0.0414727	0.00519017
910	-9637.86	-9649.81	11.953	1.15464	0.11176	6.79222	0.0587771	0.0306422	0.0443764	0.00855006	0.00834163	0.789717	0.0237792	0.047525	0.00982229	0.0187731	0.0358538	0.0210053	0.00794409	0.0390526	0.010482
920	-9645.09	-9656	10.9164	1.26253	0.0916241	5.96661	0.0593459	0.0468523	0.043022	0.0126873	0.0172061	0.851022	0.0245654	0.0524008	0.0147432	0.0279039	0.0365517	0.0172559	0.0125601	0.0388711	0.00753992
930	-9638.41	-9650.5	12.0816	1.14164	0.116849	6.81497	0.0683705	0.0369936	0.0436502	0.00868766	0.0197665	0.738468	0.0248851	0.0442603	0.0120842	0.0205064	0.0384429	0.0254896	0.0114041	0.0420206	0.00660778
940	-9636.68	-9648.07	11.3921	1.20184	0.111279	8.56861	0.0820003	0.0416757	0.0424126	0.00900972	0.0100559	0.810866	0.0261188	0.0434658	0.0104186	0.0211611	0.0242585	0.025984	0.0150823	0.03379	0.00554529
950	-9643.75	-9655.19	11.4458	1.1874	0.125065	10.3699	0.0706692	0.041916	0.0333715	0.00987933	0.00840375	0.800437	0.0235224	0.0559007	0.00804768	0.0167227	0.0158904	0.0311499	0.0120251	0.0468317	0.0126294
960	-9638.96	-9649.64	10.6787	1.2988	0.110641	3.44568	0.0605316	0.0353068	0.0333895	0.00936584	0.0120721	0.934667	0.0271917	0.0420146	0.0129282	0.0173985	0.0226849	0.0311499	0.0129953	0.0351992	0.0119097
