Iteration	Posterior	Likelihood	Prior	dp	r	csf[1]	csf[2]	csf[3]
1730	-86.2979	-86.1395	-0.158407	0.339717	0.205955	0.425202	0.537929	0.0368691
1740	-62.2567	-61.3247	-0.931953	0.457043	0.165984	0.657217	0.244346	0.0984368
1750	-76.3493	-78.6354	2.28604	0.122434	0.178794	0.187561	0.436934	0.375505
1760	-55.2736	-58.2673	2.9937	0.108352	0.12211	0.375882	0.229129	0.394989
1770	-45.8081	-48.9606	3.15254	0.11162	0.102958	0.210708	0.387271	0.402021
1780	-42.9579	-46.9901	4.03225	0.0370391	0.0895674	0.693796	0.0772809	0.228923
1790	-53.6508	-57.2669	3.61613	0.0478423	0.120377	0.585037	0.234355	0.180608
1800	-66.1869	-69.8943	3.70746	0.00659303	0.152493	0.47574	0.424657	0.0996021
1810	-63.1895	-66.4626	3.27316	0.00979525	0.192721	0.368562	0.577884	0.0535531
1820	-57.2365	-60.6051	3.36858	0.0162577	0.176716	0.139909	0.786706	0.0733847
1830	-57.2827	-61.0801	3.79739	0.047142	0.102951	0.425775	0.34729	0.226934
1840	-48.7663	-52.3508	3.58443	0.0758898	0.0954994	0.591321	0.27132	0.137359
1850	-66.4343	-70.2653	3.831	0.0233138	0.123418	0.471446	0.336858	0.191695
1860	-54.3767	-57.0784	2.70169	0.0855023	0.174161	0.393483	0.190326	0.416191
1870	-62.422	-64.7003	2.27831	0.159154	0.142847	0.277139	0.319379	0.403481
1880	-55.8635	-57.7213	1.85788	0.223452	0.120592	0.281791	0.0379646	0.680244
1890	-63.9059	-65.5243	1.6184	0.218046	0.149946	0.83594	0.0168733	0.147187
1900	-60.8239	-60.4401	-0.383819	0.478842	0.0893717	0.516927	0.304515	0.178558
1910	-57.9437	-60.9603	3.01654	0.0810025	0.147175	0.403817	0.424843	0.17134
1920	-67.9552	-70.7863	2.83107	0.0715783	0.175147	0.410969	0.443933	0.145098
1930	-54.5544	-58.6948	4.1404	0.0140947	0.101697	0.41386	0.197085	0.389056
1940	-50.4418	-54.3973	3.95547	0.022228	0.112057	0.262459	0.178069	0.559472
1950	-57.9754	-60.6075	2.63203	0.0642955	0.202333	0.198319	0.332686	0.468995
1960	-47.0478	-50.8771	3.82934	0.0309311	0.115966	0.305398	0.187084	0.507519
1970	-54.9288	-58.1453	3.21655	0.0562713	0.151905	0.447464	0.227983	0.324553
1980	-73.2513	-76.4103	3.15897	0.0626692	0.151266	0.273285	0.544361	0.182354
1990	-58.8573	-59.5253	0.668032	0.34953	0.113499	0.459662	0.364175	0.176162
2000	-72.7118	-74.8316	2.11986	0.0639632	0.253883	0.339765	0.575076	0.0851591
2010	-53.9664	-58.0138	4.04747	0.020262	0.104822	0.651107	0.267259	0.0816345
2020	-61.9225	-65.2191	3.2966	0.00620827	0.193964	0.392038	0.522607	0.0853549
2030	-56.9099	-60.7078	3.79793	0.0567658	0.093273	0.299482	0.664421	0.0360969
2040	-60.4833	-63.9796	3.49637	0.0283881	0.151806	0.082053	0.71896	0.198987
2050	-42.4098	-46.1313	3.72151	0.0460397	0.111641	0.191348	0.372472	0.436179
2060	-48.635	-51.8829	3.24793	0.0618624	0.143176	0.447321	0.198013	0.354666
2070	-57.8355	-61.6805	3.845	0.0164165	0.128915	0.289607	0.0434177	0.666976
2080	-51.6029	-55.1511	3.54814	0.0411473	0.133871	0.791992	0.139701	0.0683066
2090	-63.8026	-66.7768	2.97417	0.109863	0.122552	0.693048	0.178498	0.128454
2100	-50.8423	-53.8291	2.9868	0.0907818	0.14037	0.567909	0.291924	0.140168
2110	-53.7251	-57.9244	4.19931	0.019677	0.0902242	0.352059	0.200751	0.44719
2120	-48.414	-52.1766	3.76265	0.0479276	0.105639	0.731661	0.221078	0.0472613
2130	-48.9792	-52.9128	3.93356	0.0214477	0.115028	0.608791	0.355532	0.035677
2140	-49.4225	-53.7203	4.29778	0.0274545	0.072599	0.228323	0.611801	0.159876
2150	-44.1067	-47.1923	3.08559	0.128367	0.0929054	0.202463	0.780562	0.0169748
2160	-56.7215	-58.9095	2.18808	0.168878	0.142147	0.276087	0.526458	0.197455
2170	-56.3333	-58.8621	2.52874	0.130844	0.146114	0.425819	0.165961	0.40822
2180	-71.1941	-74.4281	3.23401	0.0626462	0.143785	0.730505	0.170165	0.0993292
2190	-64.0494	-66.7867	2.73736	0.0907652	0.16533	0.558711	0.179463	0.261826
2200	-67.6066	-71.2479	3.64136	0.0395033	0.126193	0.314018	0.490144	0.195839
2210	-56.6883	-59.342	2.65373	0.156311	0.108148	0.29899	0.467208	0.233802
2220	-51.0749	-54.5547	3.4798	0.0633301	0.118522	0.00616433	0.635848	0.357988
2230	-57.9333	-60.1794	2.24607	0.176138	0.129087	0.432465	0.394337	0.173198
2240	-63.2902	-66.2775	2.98732	0.0767396	0.15436	0.359735	0.231618	0.408647
2250	-60.0172	-63.7008	3.68356	0.0409892	0.120486	0.475631	0.159307	0.365062
2260	-55.5012	-59.5221	4.02087	0.00542742	0.122318	0.719829	0.0258155	0.254356
2270	-93.266	-95.9165	2.65053	0.00682162	0.257958	0.569269	0.341924	0.0888063
2280	-36.682	-41.0518	4.36987	0.0142911	0.0785538	0.219806	0.491495	0.288698
2290	-51.0841	-55.1107	4.02655	0.00311563	0.124061	0.394974	0.163586	0.44144
2300	-50.5709	-54.3559	3.78498	0.0253543	0.12598	0.272506	0.163372	0.564122
2310	-52.0039	-55.2969	3.29306	0.0869956	0.11353	0.11051	0.321756	0.567735
2320	-57.982	-59.0623	1.08025	0.322503	0.0993031	0.351494	0.352065	0.296441
2330	-58.2163	-58.4111	0.194761	0.401143	0.109213	0.299718	0.236699	0.463583
2340	-57.2636	-59.9423	2.67871	0.0618879	0.200072	0.637303	0.178012	0.184686
2350	-69.4494	-71.6377	2.18829	0.0924617	0.218541	0.00104755	0.351337	0.647616
2360	-59.4641	-62.4963	3.03225	0.150417	0.0761897	0.160932	0.461112	0.377957
2370	-60.573	-62.6122	2.03927	0.167692	0.158213	0.229265	0.3879	0.382834
2380	-65.179	-66.9311	1.75204	0.158554	0.196073	0.0970231	0.541865	0.361112
2390	-72.1218	-72.4429	0.321136	0.356104	0.141614	0.559373	0.354729	0.0858978
2400	-49.3609	-51.0212	1.66022	0.248035	0.115774	0.0728715	0.346587	0.580542
2410	-59.5692	-59.2953	-0.273893	0.491972	0.0652488	0.241767	0.439405	0.318828
2420	-52.8425	-55.887	3.04448	0.0714477	0.153936	0.152885	0.81079	0.0363258
2430	-51.8784	-53.8634	1.985	0.21563	0.115701	0.211701	0.327342	0.460957
2440	-58.9152	-61.1131	2.19795	0.167986	0.142051	0.0980573	0.400278	0.501664
2450	-53.9558	-56.9257	2.9699	0.108412	0.124429	0.211796	0.468809	0.319395
2460	-75.8319	-76.2057	0.373823	0.244665	0.247785	0.528016	0.23426	0.237723
2470	-62.3773	-65.4201	3.0429	0.104157	0.121385	0.747584	0.228139	0.0242773
2480	-58.7821	-62.4946	3.71255	0.0270303	0.131547	0.312879	0.338842	0.348279
2490	-74.147	-77.468	3.32104	0.0148831	0.182845	0.441805	0.213225	0.34497
2500	-51.5602	-55.4881	3.92793	0.0339604	0.103079	0.259866	0.309254	0.43088
2510	-51.9772	-55.5214	3.54411	0.108585	0.0668352	0.364807	0.306545	0.328648
2520	-67.6404	-69.2527	1.61233	0.155512	0.213086	0.386516	0.303563	0.309921
2530	-62.9893	-66.0426	3.05334	0.092416	0.132081	0.327625	0.188909	0.483465
2540	-52.236	-56.0815	3.84545	0.0552569	0.0900295	0.240748	0.352114	0.407137
2550	-58.1476	-61.1373	2.98966	0.122679	0.108187	0.711206	0.0212422	0.267551
2560	-57.0636	-60.2868	3.22317	0.0802252	0.12729	0.578564	0.0203608	0.401075
2570	-55.5863	-58.7639	3.17755	0.0716733	0.140403	0.556408	0.322877	0.120715
2580	-93.5328	-93.9463	0.413499	0.158436	0.330046	0.703719	0.288714	0.00756687
2590	-57.0371	-58.4883	1.4512	0.270527	0.114185	0.382658	0.461396	0.155946
2600	-53.5349	-56.7002	3.16526	0.0895162	0.123789	0.772958	0.120582	0.10646
2610	-68.3439	-71.0958	2.75194	0.0528535	0.201784	0.366869	0.453155	0.179977
2620	-48.0775	-52.0952	4.01773	0.0534051	0.0746537	0.147372	0.333709	0.518919
2630	-56.3491	-57.5421	1.19302	0.240253	0.170277	0.483687	0.212383	0.303931
2640	-55.1737	-56.9518	1.77805	0.190405	0.161621	0.402673	0.321099	0.276228
2650	-57.7076	-59.7326	2.02496	0.213625	0.11371	0.248312	0.482699	0.268989
2660	-58.8592	-60.3483	1.48911	0.238929	0.141991	0.0137586	0.493666	0.492576
2670	-51.7523	-51.7362	-0.0160187	0.399375	0.132059	0.327747	0.597165	0.0750884
2680	-64.5219	-68.1205	3.59864	0.0717727	0.0981948	0.447306	0.420261	0.132433
2690	-60.9349	-64.0434	3.10843	0.0463083	0.17268	0.566807	0.349368	0.0838257
2700	-64.3954	-67.8823	3.48689	0.0506217	0.130521	0.306877	0.139796	0.553327
2710	-67.0575	-70.1073	3.04981	0.0196529	0.205198	0.514371	0.114817	0.370812
2720	-36.9244	-41.1094	4.18498	0.0209955	0.0903378	0.181719	0.293784	0.524497
2730	-47.5783	-51.2887	3.71036	0.0146059	0.14419	0.566929	0.414251	0.0188203
2740	-61.5259	-65.0882	3.56227	0.0435407	0.130064	0.626829	0.0185056	0.354665
2750	-55.0586	-58.5967	3.53812	0.0149047	0.161115	0.174307	0.4985	0.327194
2760	-50.3376	-54.7463	4.40872	0.00502942	0.0839306	0.471225	0.18319	0.345584
2770	-56.9559	-60.9673	4.01141	0.00826026	0.120431	0.454309	0.40973	0.135962
2780	-52.5287	-56.554	4.02531	0.00684111	0.12046	0.35911	0.284338	0.356552
2790	-51.6764	-55.1571	3.48071	0.0054737	0.176287	0.486926	0.328321	0.184753
2800	-52.9577	-57.3973	4.43962	0.00184043	0.0840292	0.313291	0.392876	0.293833
2810	-57.1166	-60.8162	3.69956	0.011428	0.148448	0.663847	0.0530497	0.283104
2820	-54.9051	-58.9572	4.05212	0.00999542	0.114625	0.1531	0.292894	0.554006
2830	-60.6663	-63.7713	3.10504	0.0167189	0.202609	0.549745	0.294978	0.155276
2840	-57.1656	-60.581	3.41543	0.0164484	0.17184	0.426398	0.140478	0.433124
2850	-64.3119	-67.484	3.17204	0.100528	0.112099	0.407217	0.183633	0.40915
2860	-55.5782	-59.254	3.6758	0.0521056	0.110146	0.181287	0.0595284	0.759185
