Iteration	Posterior	Likelihood	Prior	sf[1]	sf[2]	sf[3]	sf[4]	diversification	turnover	birth_rate	death_rate	root_time	tmrca_Ursidae	base_rate	tmrca_UrsidaePinn	clock_rate	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
840	-2801.13	-2757.35	-43.7794	0.181121	0.315818	0.323436	0.179625	0.104872	0.168768	0.126165	0.0212925	51.5675	16.2531	0.00594913	34.0925	0.155562	0.0891811	0.336868	0.0575047	0.10845	0.335592	0.072404
850	-2797.04	-2753.19	-43.8527	0.173677	0.339962	0.314118	0.172243	0.0242439	0.631199	0.065737	0.0414932	61.1189	19.506	0.0053294	35.4469	0.144273	0.0474558	0.436137	0.0398692	0.0751905	0.323547	0.0778005
860	-2796.28	-2752.27	-44.0151	0.176076	0.332897	0.318839	0.172189	0.0256561	0.855408	0.177438	0.151781	60.767	15.4356	0.00545221	38.1584	0.15494	0.0568514	0.413262	0.0305968	0.0797815	0.367165	0.0523432
870	-2799.11	-2755.65	-43.4615	0.187371	0.337758	0.312507	0.162364	0.00579726	0.896659	0.0560984	0.0503011	58.1053	19.6292	0.00526679	34.0045	0.169382	0.0620761	0.375511	0.0323376	0.112265	0.360656	0.0571536
880	-2795.48	-2744.46	-51.0249	0.177799	0.333398	0.306885	0.181918	0.0437148	0.227786	0.0566097	0.0128949	70.1332	18.3209	0.00583535	36.026	0.139677	0.0651836	0.433677	0.0339564	0.0894531	0.338288	0.0394416
890	-2795.17	-2745.86	-49.3133	0.17711	0.326708	0.327274	0.168907	0.0504209	0.0980242	0.0559005	0.0054796	67.9796	19.1332	0.00525917	36.67	0.155998	0.0920237	0.373305	0.0359806	0.0808872	0.362342	0.0554615
900	-2791.1	-2749.56	-41.5326	0.184777	0.315611	0.324423	0.175189	0.0394926	0.47102	0.0746581	0.0351655	57.7517	19.2307	0.00512169	35.0534	0.177923	0.0770558	0.37862	0.038533	0.0820389	0.367501	0.0562512
910	-2793.14	-2751.7	-41.4409	0.178721	0.3193	0.32596	0.176019	0.0589716	0.0845955	0.0644213	0.00544975	54.5724	19.1396	0.00500694	34.1026	0.193346	0.0832309	0.372683	0.0336153	0.0599841	0.384201	0.066285
920	-2798.39	-2759.81	-38.5814	0.172023	0.33988	0.31835	0.169747	0.0240969	0.347525	0.0369315	0.0128346	48.8271	16.3292	0.0050134	35.3449	0.197561	0.0577331	0.3871	0.0417485	0.0538075	0.37817	0.0814406
930	-2793.55	-2755.14	-38.4065	0.179346	0.340093	0.313435	0.167126	0.0214938	0.627751	0.0577403	0.0362465	50.9568	16.5305	0.00500103	35.0042	0.192248	0.049187	0.326161	0.0680753	0.0813205	0.422443	0.0528132
940	-2793.41	-2751.83	-41.5768	0.174272	0.309502	0.317112	0.199114	0.0397095	0.366728	0.0627053	0.0229958	57.2588	17.932	0.00577597	35.2079	0.163102	0.0738214	0.382889	0.0552108	0.0675231	0.376955	0.0436014
950	-2794.28	-2756.17	-38.11	0.193046	0.309501	0.326313	0.17114	0.0382407	0.633991	0.10448	0.0662397	53.7362	15.8131	0.00540271	34.1445	0.178785	0.0619028	0.317215	0.046297	0.0885772	0.401367	0.0846408
960	-2796.68	-2752.19	-44.4845	0.18125	0.354314	0.295339	0.169097	0.0691916	0.418987	0.119088	0.0498962	60.6322	17.8797	0.00517052	35.6748	0.157529	0.041168	0.36273	0.0386742	0.0639284	0.407554	0.0859455
970	-2798	-2753.21	-44.7841	0.183992	0.333057	0.319259	0.163692	0.0732655	0.406761	0.123501	0.0502354	58.993	18.9646	0.00545118	35.7233	0.154165	0.0886662	0.375467	0.0657874	0.0877937	0.325948	0.0563381
980	-2799.48	-2759.43	-40.0486	0.187424	0.353109	0.300723	0.158744	0.0598731	0.461584	0.111202	0.0513292	54.3519	19.0861	0.00556951	37.2695	0.158298	0.0752751	0.364684	0.0558516	0.0745344	0.353521	0.0761338
990	-2805.58	-2757.7	-47.8842	0.180098	0.33634	0.31564	0.167922	0.0338835	0.24192	0.0446965	0.010813	63.5669	17.5544	0.00480279	35.2415	0.201463	0.109044	0.355332	0.0133454	0.0761943	0.389209	0.056876
1000	-2794.71	-2752.75	-41.9593	0.205084	0.311361	0.314925	0.168629	0.0400318	0.486976	0.078031	0.0379993	59.4545	17.4736	0.00546162	39.1283	0.158396	0.0573491	0.354338	0.0500682	0.091799	0.370673	0.0757725
1010	-2793.8	-2753.9	-39.9037	0.176021	0.322282	0.336141	0.165556	0.0481686	0.198235	0.0600781	0.0119096	55.2792	15.4043	0.00522272	35.2294	0.173919	0.103746	0.358763	0.0409037	0.0883004	0.355062	0.0532244
1020	-2790.87	-2749.22	-41.6432	0.181312	0.333493	0.305792	0.179403	0.0337237	0.528374	0.0715051	0.0377814	59.9864	16.9908	0.00528181	35.1173	0.187462	0.0897834	0.376631	0.0309165	0.0956924	0.350236	0.0567403
1030	-2794.73	-2753.98	-40.7552	0.181184	0.322189	0.325685	0.170942	0.00978433	0.746308	0.0385678	0.0287835	54.3965	19.2482	0.00528776	35.0826	0.172404	0.0660002	0.3919	0.0282751	0.0875167	0.320313	0.105995
1040	-2792.78	-2752.34	-40.4449	0.189209	0.306909	0.323458	0.180424	0.0296371	0.30869	0.0428709	0.0132338	56.4233	17.2167	0.0052472	33.9962	0.19001	0.0426675	0.348196	0.0245848	0.0754283	0.417769	0.0913544
1050	-2795.38	-2751.9	-43.4851	0.19743	0.317911	0.322534	0.162126	0.0153697	0.744972	0.0602667	0.044897	60.3211	16.5719	0.00510374	33.9569	0.154088	0.0712332	0.308523	0.0478058	0.0668341	0.436062	0.0695419
1060	-2797.05	-2749.35	-47.697	0.176739	0.310269	0.351726	0.161265	0.0566623	0.53529	0.121931	0.0652682	65.9193	17.7211	0.00550704	36.8709	0.157126	0.0587246	0.327882	0.0512085	0.055098	0.471504	0.0355834
1070	-2805.1	-2767.75	-37.3524	0.185269	0.325243	0.323183	0.166305	0.0632058	0.525158	0.133109	0.0699033	46.3027	19.0181	0.00545217	34.3848	0.198068	0.0537375	0.300037	0.0468597	0.0388313	0.459493	0.101042
