Iteration	Posterior	Likelihood	Prior	turnover	diversification	birth_rate	death_rate	root_time	tmrca_Ursidae	tmrca_UrsidaePinn	base_rate	clock_rate	sf[1]	sf[2]	sf[3]	sf[4]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]
780	-2798.01	-2755.83	-42.1827	0.59857	0.0551259	0.137324	0.082198	57.7821	16.04	35.4504	0.005516	0.16084	0.19341	0.325803	0.320762	0.160025	0.0978522	0.354032	0.0593759	0.0720868	0.338423	0.0782308
790	-2792.97	-2752.61	-40.3614	0.496524	0.0610686	0.121294	0.0602253	54.7832	18.0707	35.0961	0.00507141	0.173853	0.168383	0.322899	0.339589	0.16913	0.044041	0.41012	0.0392775	0.0831463	0.37945	0.0439655
800	-2794.77	-2749.49	-45.2772	0.416524	0.0319563	0.0547688	0.0228125	61.6111	18.0262	36.9236	0.00488926	0.180668	0.180029	0.357094	0.297511	0.165365	0.0468458	0.448866	0.0429883	0.0758258	0.338352	0.047122
810	-2796.26	-2759.07	-37.1919	0.664906	0.0410599	0.122533	0.0814727	50.589	16.9795	34.4697	0.00521949	0.196181	0.164808	0.32299	0.317654	0.194547	0.0964766	0.399801	0.045663	0.0613808	0.347018	0.0496613
820	-2794.65	-2753.28	-41.3695	0.532534	0.0384311	0.0822115	0.0437804	57.5012	17.5637	38.3805	0.0050876	0.168909	0.166449	0.317713	0.341147	0.174691	0.0912679	0.339991	0.0380804	0.0800738	0.409172	0.0414148
830	-2797.3	-2756.1	-41.1987	0.292795	0.0186347	0.0263498	0.00771508	54.375	21.2698	34.1477	0.00531969	0.167739	0.187295	0.300185	0.341161	0.171359	0.0921936	0.31221	0.0384667	0.0822449	0.413322	0.0615628
840	-2794.08	-2756.47	-37.6077	0.422337	0.0413573	0.0715943	0.0302369	51.1773	16.5868	34.0211	0.00567391	0.164728	0.196761	0.311639	0.31847	0.173131	0.0874408	0.309384	0.0381185	0.0830012	0.412665	0.0693905
850	-2796.05	-2756.95	-39.1052	0.360795	0.068749	0.107554	0.0388049	52.1781	18.4516	35.006	0.00522768	0.170536	0.177461	0.319127	0.326121	0.17729	0.0802957	0.389603	0.0350037	0.0762189	0.355159	0.0637204
860	-2794.03	-2756.9	-37.1255	0.395207	0.0414957	0.0686114	0.0271157	50.6859	16.7089	33.9801	0.00527683	0.17164	0.172865	0.327674	0.317674	0.181787	0.0734008	0.369743	0.0341018	0.0628258	0.407405	0.0525235
870	-2795.32	-2750.75	-44.5774	0.543401	0.0581567	0.127369	0.0692127	59.3451	16.3189	35.5988	0.0058356	0.138205	0.175137	0.31118	0.330389	0.183294	0.0975898	0.40888	0.0515213	0.0772061	0.314685	0.0501185
