Iteration	Posterior	Likelihood	Prior	dp	glr[1]	glr[2]	csf[1]	csf[2]	csf[3]
1760	-66.4249	-70.7155	4.2906	0.0479858	0.196231	0.0868136	0.574468	0.410745	0.014787
1770	-55.3217	-59.6068	4.28517	0.0691835	0.161808	0.100582	0.331275	0.159938	0.508787
1780	-66.9556	-70.1326	3.17693	0.0413957	0.255976	0.145025	0.537758	0.272272	0.189969
1790	-56.7254	-61.0046	4.27918	0.0274265	0.178741	0.126005	0.497193	0.198492	0.304316
1800	-74.2166	-79.5834	5.3668	0.0115058	0.135035	0.0768696	0.141245	0.214313	0.644443
1810	-56.9624	-62.0496	5.08721	0.000532674	0.19333	0.0575062	0.236003	0.722006	0.0419911
1820	-46.9965	-51.943	4.94648	0.000193261	0.165767	0.0994821	0.107549	0.502194	0.390256
1830	-49.337	-55.2432	5.90615	4.18188e-05	0.0986655	0.0707675	0.398746	0.47781	0.123444
1840	-65.2668	-70.3271	5.06022	3.3073e-05	0.0959985	0.158037	0.623523	0.222514	0.153963
1850	-42.3861	-47.2844	4.89834	8.57487e-05	0.129886	0.140284	0.287978	0.458399	0.253622
1860	-43.8095	-48.9363	5.12682	3.22781e-05	0.15146	0.0959151	0.545273	0.227977	0.22675
1870	-53.0124	-57.8556	4.84321	5.97537e-05	0.153292	0.122418	0.323613	0.448857	0.227531
1880	-55.9325	-60.427	4.49452	6.08969e-05	0.190736	0.119841	0.579885	0.384608	0.0355062
1890	-45.2988	-51.0171	5.71825	0.00013489	0.0974259	0.0907044	0.289067	0.42042	0.290514
1900	-44.2222	-49.8596	5.63737	0.00160941	0.0984471	0.0962963	0.303544	0.635763	0.0606938
1910	-46.1763	-51.1065	4.93015	0.00163861	0.16553	0.0999068	0.185003	0.655196	0.1598
1920	-46.5069	-52.6557	6.1488	0.000783287	0.0769811	0.0674454	0.145552	0.777695	0.0767532
1930	-40.77	-46.0906	5.32063	0.000945032	0.149473	0.0776084	0.096328	0.469154	0.434518
1940	-49.5537	-54.4832	4.92949	0.000406483	0.132314	0.134421	0.263023	0.308272	0.428705
1950	-41.8646	-47.218	5.35338	0.00608958	0.0909615	0.127701	0.403108	0.147839	0.449053
1960	-47.794	-54.2219	6.4279	0.00469953	0.0727676	0.0398331	0.378805	0.416252	0.204943
1970	-40.729	-46.7416	6.0126	0.00865386	0.0806347	0.0695421	0.313282	0.53211	0.154607
1980	-41.9821	-48.1933	6.21116	0.000620875	0.104482	0.0338714	0.600513	0.157756	0.241731
1990	-43.8879	-48.9825	5.09463	0.000666936	0.178513	0.0714468	0.618945	0.337333	0.0437227
2000	-42.0609	-47.6337	5.5728	0.00270592	0.160081	0.0400239	0.330758	0.32347	0.345772
2010	-45.1581	-49.7612	4.60307	0.00755013	0.168102	0.124131	0.225314	0.207925	0.566761
2020	-42.9183	-48.2603	5.34204	0.0102208	0.0739278	0.141738	0.416598	0.217172	0.36623
2030	-42.3469	-48.197	5.85012	0.0303913	0.0518596	0.0928273	0.687746	0.240749	0.0715051
2040	-49.4621	-54.6339	5.17173	0.118955	0.0630778	0.0608851	0.49248	0.154689	0.352831
